,범죄 발생지,,,,,,,,,,,,,,,,,,,,,범죄 발생지,,,,,,,,,,,,,,,,,,,,,범죄 발생지,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
범죄대분류,범죄중분류,계, 서울 , 부산 , 대구 , 인천 , 광주 , 대전 , 울산 , 부천 , 수원 , 성남 , 전주 , 안양 , 청주 , 마산 , 창원 , 광명 , 포항 , 안산 ,구분,, 진주 , 고양 , 제주 , 목포 , 의정부 , 익산 , 군산 , 구미 , 천안 , 여수 , 춘천 , 원주 , 평택 , 경주 , 김해 , 순천 , 군포 , 남양주 , 강릉 ,구분,, 충주 , 안동 , 경산 , 아산 , 거제 , 김천 , 정읍 , 용인 , 시흥 , 파주 , 양산 , 이천 , 구리 , 서산 , 제천 , 논산 , 기타도시 , 도시이외 
계,,"1,793,400","360,468","137,788","97,968","92,766","67,513","45,073","38,716","35,196","38,097","30,465","22,584","17,627","21,854","1,953","33,757","8,442","19,720","25,968",계,,"11,991","28,248","29,045","11,786","14,971","12,611","14,078","17,847","23,060","12,704","10,936","15,704","18,230","11,304","19,616","10,654","7,652","14,262","8,984",계,,"7,458","6,150","8,766","7,767","10,104","4,195","3,566","19,559","16,666","12,040","9,273","7,292","7,851","5,864","4,584","3,582","144,465","124,580"
,,-100,-20.1,-7.7,-5.5,-5.2,-3.8,-2.5,-2.2,-2,-2.1,-1.7,-1.3,-1,-1.2,-0.1,-1.9,-0.5,-1.1,-1.4,,,-0.7,-1.6,-1.6,-0.7,-0.8,-0.7,-0.8,-1,-1.3,-0.7,-0.6,-0.9,-1,-0.6,-1.1,-0.6,-0.4,-0.8,-0.5,,,-0.4,-0.3,-0.5,-0.4,-0.6,-0.2,-0.2,-1.1,-0.9,-0.7,-0.5,-0.4,-0.4,-0.3,-0.3,-0.2,-8.1,-6.9
강력범죄,,"25,149","6,033","1,836","1,195","1,521","1,059",711,471,520,677,459,319,281,360,19,426,128,173,444,강력범죄,,118,393,348,133,272,170,118,187,359,143,115,180,205,140,204,137,142,181,105,강력범죄,,97,82,119,115,109,47,50,256,276,159,115,106,102,83,60,60,"1,667","1,364"
,살인기수,411,66,28,17,21,15,10,9,1,7,7,11,4,5,1,13,1,3,2,,살인기수,4,5,7,0,2,4,1,3,4,1,2,4,4,2,4,5,2,7,3,,살인기수,2,4,1,1,4,0,3,6,5,3,3,1,1,3,1,1,36,51
,살인미수등,584,112,56,16,29,13,20,14,11,13,11,5,8,12,3,12,2,1,7,,살인미수등,1,8,7,4,6,3,2,5,10,4,4,1,7,5,7,2,3,5,1,,살인미수등,6,1,1,2,4,4,1,6,4,4,3,3,0,5,1,4,57,48
,강도,"2,587",569,295,102,135,102,100,37,49,74,28,24,30,48,5,52,9,31,41,,강도,18,34,35,16,25,13,18,28,31,13,13,15,27,12,28,13,10,16,2,,강도,11,5,8,15,5,5,12,21,34,11,13,8,13,9,8,9,181,121
,강간강제추행,"19,670","4,916","1,332",974,"1,227",861,523,373,413,548,377,265,221,271,9,333,109,128,356,,강간강제추행,85,323,264,104,222,143,88,131,290,116,88,151,152,96,141,100,118,135,88,,강간강제추행,64,64,94,87,83,34,33,201,204,129,84,82,78,58,43,39,"1,220","1,002"
,방화,"1,897",370,125,86,109,68,58,38,46,35,36,14,18,24,1,16,7,10,38,,방화,10,23,35,9,17,7,9,20,24,9,8,9,15,25,24,17,9,18,11,,방화,14,8,15,10,13,4,1,22,29,12,12,12,10,8,7,7,173,142
